BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Class,Rad_opt_sp_index,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,universe_age_Gyr,comoving_distance_Mpc,lookback_distance_Mpc,luminosity_distance_Mpc,distance_modulus_mag,RA_sin,RA_cos,Dec_sin,ext_fuv,ext_nuv,log_nuF_fuv,log_nuF_nuv,log_nuF_g,log_nuF_r,log_nuF_i,log_nuF_z,log_nuF_y,log_nuF_Su,log_nuF_Sg,log_nuF_Sr,log_nuF_Si,log_nuF_Sz,log_nuF_J,log_nuF_H,log_nuF_K,log_nuF_w1,log_nuF_w2,log_nuF_w3,log_nuF_w4,tangent_wise,tangent_pstarrs,log_nu_radmax,i_abs,w1_abs,log_X_luminosity_W,log_nuF_X,log_gamma_luminosity_ph,log_nuF_gamma,log_radio_luminosity,log_nuF_1.4,log_nuF_143,log_nuF_4.8,nuv-g,g-r,r-i,i-z,z-y,y-w1,w1-w2,w2-w3,w3-w4,fuv-nuv,nuv-Su,Su-Sg,Sg-Sr,Sr-Si,Si-Sz,y-J,J-H,H-K,K-w1,g_var,r_var,i_var,z_var,y_var,Radio_radio_hard,IR_opt_hard,IR_UV_hard,IR_X_hard
5BZQJ0000-3221,00 00 20.39,-32 21 01.0,1.275,BZQ,0.707,,0.056,-0.763,,,,-0.967,-0.903,,0.652,0.256,0.246,,,4.847,4016.571161045527,2722.8649050477475,9126.65677081747,44.80155859090924,0.0014828021002996374,0.9999989006483614,-0.5350938716079057,0.07130545666461642,0.07665366490947845,,-11.899506097549361,,,,,,,,,,,,,,-12.482644369355798,-12.334411179279735,-12.164664254402963,-12.037379471119195,-0.5126400548882074,,13.255743569148162,,-29.98955831625104,86.80192062991489,-13.301029995663981,,,63.500050372129394,-13.137034241022237,,-12.659605464985486,,,,,,,1.354000091552729,3.2600002288818413,2.467000007629391,,,,,,,,,,,,,,,,-0.47742877603675105,,-0.4349050817303741,0.966618816384246
5BZQJ0001-1551,00 01 05.29,-15 51 06.98,2.044,BZQ,0.661,,-0.281,-0.599,-0.788,-1.028,0.366,-0.138,-0.282,,0.499,0.303,0.333,,0.387,3.181,5353.362865937267,3233.8708579618337,16260.664057884711,46.055691387343785,0.004748004946283346,0.9999887281609878,-0.2731523901053719,0.20739641797413386,0.2207910397307662,,-12.336428947620846,-11.97209828322442,-12.077398319614296,-12.125891189043793,-12.110271050039808,-12.24668828255051,,,,,,,,,-12.605844213716152,-12.526410996174269,-12.289864144539683,-12.293379608448298,-0.40978679604399887,0.758569698283133,13.212410416311785,-27.83939063661136,-30.935691501784703,,,,,64.20087981356181,-13.312292720375181,,-12.839006551028348,1.7048118635407121,0.007100128173831877,0.09359951782226261,0.19230047607422307,-0.2269001312255874,3.13090052032471,1.1820001602172798,3.4270000457763707,2.1399993896484375,,,,,,,,,,,0.528900146484375,0.14429855346680043,0.08609962463378906,0.1857013702392578,0.3410987854003906,-0.4732861693468333,-0.4005198071304754,-0.18998204855342316,
5BZQJ0001+1914,00 01 08.62,+19 14 34.18,3.1,BZQ,0.917,-0.117,0.029,0.276,-0.427,-1.314,0.079,-0.425,-0.205,,0.418,0.468,0.626,0.234,0.571,2.048,6572.092926112351,3581.2290629178947,26858.45352745383,47.14540501488976,0.004990166508772094,0.9999875490415941,0.32957246266205126,0.2838775372698202,0.30735892990534974,,,-13.3879784712127,-13.275518387973671,-13.238610878985197,-13.15443082787184,-13.019848048175508,-14.146236913344962,-13.5870356729481,-13.337790010090883,-13.41089284523019,-13.259181941995818,,,,-13.07264452194369,-13.055211197590284,,,-0.12665851701599007,-1.0965745814799912,12.87437765471329,-26.147305039303824,-30.85840435876183,,,,,64.0416271149893,-13.430626090384955,,-13.09541968576146,,0.5515004272460935,0.3071004638671866,0.3637002563476557,0.4505998992919942,3.8967991638183577,1.0270004272460902,,,,,1.701000000000004,0.9189999999999969,0.027000000000001023,0.5719999999999992,,,,,0.40769958496093395,0.8794994354248047,0.8994998931884766,0.5751991271972692,,-0.33520640462349505,0.18339968139491347,,
5BZBJ0001-0746,00 01 18.0,-07 46 26.68,,BLLac,0.553,,-0.029,-0.159,-0.484,-0.895,0.19,-0.202,-0.189,,0.156,0.116,0.197,,0.273,,,,,,0.0056722896510109115,0.9999839124356527,-0.13526731636970085,0.22191744052520518,0.23843805671047244,-11.961797120050827,-11.886006940828963,-11.640778404074029,-11.617278135288124,-11.608891256182464,-11.606670622793715,-11.64936782966965,-12.01623691334496,-11.9374356729481,-11.884990010090883,-11.82009284523019,-11.795181941995818,-11.856757705674072,-11.835510381242656,-11.825836418440764,-11.638644125215174,-11.652011048054147,-11.75066431543812,-11.734979454334528,0.13828225358691293,-0.01663900894717762,,,,,-12.455931955649724,,-10.397348685188152,,-13.535808629359,,-13.09541968576146,1.407056544436987,0.32910089111328134,0.2357988891601579,0.15880171203613358,0.007399932861325453,4.055599609375001,0.9499998092651403,2.588999748229977,2.188000202178955,0.6330386161852672,0.14075724328952788,0.5,0.4269999999999996,0.37199999999999633,0.25500000000000256,0.646599853515621,0.8559993667602601,0.7739998779296897,1.7790005111694303,0.05850028991699219,0.4235992431640625,0.32129859924316406,0.5965995788574219,0.1566009521484375,-0.4403889435975401,-0.04311979187168369,0.23399589277481603,0.8039209075955771
5BZBJ0001-0011,00 01 21.48,-00 11 39.91,0.462,BLLac,0.706,,-0.56,-0.501,-0.592,-0.707,,,,,,-0.163,0.0,-0.094,,8.824,1814.2810552069097,1503.541415924789,2651.8247023319186,42.1177240592101,0.0059253581368815455,0.9999824449113843,-0.0033932529236741097,0.23792089048048007,0.2553926721437697,-12.758931220068716,-12.712342974655645,-12.645858042745902,-12.584398160922888,-12.543170772784027,-12.48311115624098,-12.447248487628634,-12.713036913344963,-12.657035672948101,-12.574190010090884,-12.49689284523019,-12.479981941995819,,,,-12.54864435409701,-12.734810959553172,-12.924264321541635,,0.6482367133322042,-0.6525261078062793,14.065833419192558,-22.858224349127088,-27.140723822698867,,,,,58.826418358339964,-13.808548985535104,,-13.63311031034662,0.9601975323240026,0.42399992370605943,0.3179001617431574,0.3033991699218781,0.20379962158202858,3.775300682067872,0.5180006027221697,2.36199951171875,,0.5600337816632894,0.4645973278562252,0.4430000000000014,0.5030000000000001,0.40300000000000225,0.23499999999999943,,,,,0.18529891967773438,0.1780014038085973,0.23379898071289062,0.26880073547363637,0.5046005249023438,-0.17543867518848444,-0.19164018676914552,-0.02246798489752777,
5BZGJ0001-1031,00 01 57.25,-10 31 17.29,0.252,BZG,0.393,,,,,,,,,,,,,,,10.675,1047.2004587819274,936.2284408959699,1310.987237376413,40.5879923189997,0.008526557296584107,0.9999636482496091,-0.18260395058850873,0.3026999500721257,0.3228739620362386,-12.975297876232059,,-12.479577848654104,-12.173557957065468,-12.10749112190512,-12.107911137930435,-12.059487873614962,-12.548236913344962,-12.1802356729481,-11.853390010090884,-11.74089284523019,-11.697981941995819,-11.869957852158443,-11.874310475847148,-11.975836522200531,-12.20504427169955,-12.455610977863719,,,1.8204449577703703,-1.2860665632511776,14.386710113569208,-22.41769173611396,-26.469992288482125,,,,,,-14.241088107602026,,,,1.0353999481201122,0.37999877929687287,0.152200088500976,0.23520111083984574,3.6648993530273426,0.3570003509521502,,,,,1.2230000000000025,1.1129999999999995,0.49099999999999966,0.29999999999999716,1.638899597167974,0.7919994964599582,0.4959998550415001,0.7380004043579103,0.3810997009277308,0.24780082702637074,0.3268013000488281,0.4036998748779297,0.2740001678466797,,-0.34811985595859873,,
5BZBJ0002-0024,00 02 57.16,-00 24 47.08,0.523,BLLac,0.757,,-1.228,-1.162,-0.079,1.287,,,,,,0.579,0.355,0.404,,8.375,2019.6687592841286,1641.1911331156323,3075.0154023605655,42.43923647721319,0.012883082359472168,0.9999170096507605,-0.007209504832892207,0.2554391172827846,0.27166703275376375,-13.226091569347794,-12.987616350411647,-12.84749802687676,-12.644438328159218,-12.509330697100433,-12.432550719229262,-12.382208222736056,-12.937436913344962,-12.8018356729481,-12.614990010090885,-12.42689284523019,-12.366381941995817,-12.199957730088132,-12.115110466691876,-12.238236253645844,-12.313444235078455,-12.43681100532954,-12.561064324593396,,0.4269784934353328,-1.550202355500162,14.492207431477329,-23.264336956339168,-28.050236538248353,,,,,59.520022914988694,-13.603451962012867,,-13.359518563029578,1.1442810113868624,0.7779994659423792,0.552600769042968,0.3452000732421858,0.23999919128418412,4.200700317382815,0.6750001907348597,2.52499961853027,,1.0397512154709823,0.591780767246231,0.642000000000003,0.7629999999999981,0.6799999999999997,0.34400000000000475,1.620700775146485,1.0149992141723594,0.44200050354004006,1.12299982452393,1.0237007141113352,0.8281002044677734,0.2569999694824219,0.17799949645996094,0.4566993713378871,-0.24393339898328925,0.07251969177089279,0.5508053450821073,
5BZQJ0003+2129,00 03 19.33,+21 29 44.59,0.45,BZQ,0.767,0.371,0.475,-0.295,-0.771,-1.372,-0.852,-1.04,-0.807,0.186,-0.066,0.268,0.224,0.133,0.258,8.917,1772.9761605143433,1475.1723678898445,2570.2099136273423,42.04984297192331,0.014495179012806553,0.9998949393738258,0.36643171440204264,0.3259606620830005,0.34865086592678807,-13.652275191427707,-13.356898337142438,-13.134458244161918,-12.855198130405311,-12.725370595782072,-12.747511174551526,-12.570207819904022,-13.117036913344961,-13.1110356729481,-12.740590010090884,-12.61569284523019,-12.590781941995818,-12.38515799864282,-12.194310494157696,-12.09823620481772,-11.827844335786462,-11.6856112830395,-11.727864251351207,-11.683779541309624,-0.11183140985779878,-1.674777758999228,13.251505953454279,-22.334843704345186,-28.874842781188452,,,,,60.494909386276454,-13.934793871945688,,-12.911686684411903,1.3500854350009455,0.9685005035400387,0.5394005279541005,0.09789868164062554,0.5574013366699297,5.884699058532711,1.3389997482299805,2.730000495910641,2.2589998245239267,1.1820053038437877,1.0659857340732088,0.3180000000000014,1.2220000000000013,0.5219999999999985,0.254999999999999,1.627699096679681,1.2799998168945308,0.9900006942748973,1.9869994506836015,0.23979949951171875,0.44659996032714844,0.21239852905273438,0.3083992004394531,0.5320987701416016,-1.0231071875337854,1.0397593127425733,1.6712870541029385,
5BZBJ0004-1148,00 04 04.87,-11 48 57.99,,BLLac,0.797,0.29,0.288,-0.237,-0.156,-0.055,-0.104,-0.087,-0.134,,0.228,0.086,0.145,,0.064,,,,,,0.017806507789698188,0.9998414515713656,-0.20477124591467985,0.23141754776516077,0.24622895368694492,-13.202166717154844,-12.650440462038375,-12.604498124533013,-12.485078055942422,-12.4697308802059,-12.393950676504652,-12.43248833748215,,,,,,-11.997158181748286,-11.839910253068828,-11.921436165144868,-12.261044409028651,-12.238011109089303,-12.225064263558238,-12.336579529102593,0.07889436884609684,-0.6108049745209425,,,,,,,,,-13.1920592787845,-11.356113246034495,-12.432326793385444,0.9088410463130572,0.5689003906250001,0.25319963073730634,0.34270063781738,0.017798797607422756,4.45740016937256,1.041000366210941,2.8680000305175692,1.8699998855590856,1.822878805921782,,,,,,2.2533999328613312,1.196000877380369,0.5460001907348602,0.46199916839599986,0.6873989105224574,0.9923992156982386,0.956298828125,0.7863006591796875,0.7074012756347656,-0.7597324853990557,0.23171977111659636,0.4124293529490721,
5BZQJ0004+4615,00 04 16.17,+46 15 18.21,1.81,BZQ,0.735,,-0.059,0.206,0.127,0.028,0.003,0.012,0.073,,0.105,0.199,0.009,,,3.575,4999.644494908228,3112.870496185718,14022.700681989996,45.73415832005502,0.018628130585816284,0.9998264813210729,0.7224250091782629,0.6337483653591841,0.6814060445771322,,,-12.757578440695124,-12.805278171909219,-12.723571126787933,-12.827751048819104,-12.804488129962618,,,,,,,,,-12.796644308320642,-12.7236110083813,-12.759864220833627,,-0.03275111428553336,0.14100264022530912,12.814018753288067,-26.02365772496225,-30.13715819798471,,,,,62.54932360717072,-13.774690718274137,,-13.024453313965427,,0.15110089111328762,0.4190993041992179,-0.10719967651366957,0.17230024719238202,4.048399902343752,1.1660003662109304,2.744999885559091,,,,,,,,,,,,0.15710067749023793,0.5747013092041016,0.5945987701416051,0.42819976806640625,0.3728008270263672,-0.7502374043087094,-3.9881593366430934e-05,,
