BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Class,Rad_opt_sp_index,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,universe_age_Gyr,comoving_distance_Mpc,lookback_distance_Mpc,luminosity_distance_Mpc,distance_modulus_mag,RA_sin,RA_cos,Dec_sin,ext_fuv,ext_nuv,log_nuF_fuv,log_nuF_nuv,log_nuF_g,log_nuF_r,log_nuF_i,log_nuF_z,log_nuF_y,log_nuF_Su,log_nuF_Sg,log_nuF_Sr,log_nuF_Si,log_nuF_Sz,log_nuF_J,log_nuF_H,log_nuF_K,log_nuF_w1,log_nuF_w2,log_nuF_w3,log_nuF_w4,tangent_wise,tangent_pstarrs,log_nu_radmax,i_abs,w1_abs,log_X_luminosity_W,log_nuF_X,log_gamma_luminosity_ph,log_nuF_gamma,log_radio_luminosity,log_nuF_1.4,log_nuF_143,log_nuF_4.8,nuv-g,g-r,r-i,i-z,z-y,y-w1,w1-w2,w2-w3,w3-w4,fuv-nuv,nuv-Su,Su-Sg,Sg-Sr,Sr-Si,Si-Sz,y-J,J-H,H-K,K-w1,g_var,r_var,i_var,z_var,y_var,Radio_radio_hard,IR_opt_hard,IR_UV_hard,IR_X_hard,radio_var,opt_var,shortwl_flux,radio_flux,cluster_kmeans,Anomaly
5BZQJ0000-3221,00 00 20.39,-32 21 01.0,1.275,BZQ,0.707,,0.056,-0.763,,,,-0.967,-0.903,,0.652,0.256,0.246,,,4.847,4016.571161045527,2722.8649050477475,9126.65677081747,44.80155859090924,0.0014828021002996,0.9999989006483614,-0.5350938716079057,0.0713054566646164,0.0766536649094784,,-11.89950609754936,,,,,,,,,,,,,,-12.482644369355798,-12.334411179279735,-12.164664254402965,-12.037379471119197,-0.5126400548882074,,13.255743569148162,,-29.98955831625104,86.80192062991489,-13.30102999566398,,,63.500050372129394,-13.137034241022237,,-12.659605464985486,,,,,,,1.354000091552729,3.2600002288818413,2.467000007629391,,,,,,,,,,,,,,,,-0.477428776036751,,-0.4349050817303741,0.966618816384246,-0.3831157788276465,,-0.4984467934705033,0.8295848299160875,3,
5BZQJ0001-1551,00 01 05.29,-15 51 06.98,2.044,BZQ,0.661,,-0.281,-0.599,-0.788,-1.028,0.366,-0.138,-0.282,,0.499,0.303,0.333,,0.387,3.181,5353.362865937267,3233.8708579618337,16260.664057884713,46.055691387343785,0.0047480049462833,0.9999887281609878,-0.2731523901053719,0.2073964179741338,0.2207910397307662,,-12.336428947620846,-11.97209828322442,-12.077398319614296,-12.125891189043791,-12.110271050039808,-12.24668828255051,,,,,,,,,-12.605844213716152,-12.526410996174269,-12.289864144539685,-12.293379608448298,-0.4097867960439988,0.758569698283133,13.212410416311783,-27.83939063661136,-30.935691501784703,,,,,64.20087981356181,-13.31229272037518,,-12.839006551028348,1.704811863540712,0.0071001281738318,0.0935995178222626,0.192300476074223,-0.2269001312255874,3.13090052032471,1.1820001602172798,3.4270000457763707,2.139999389648437,,,,,,,,,,,0.528900146484375,0.1442985534668004,0.086099624633789,0.1857013702392578,0.3410987854003906,-0.4732861693468333,-0.4005198071304754,-0.1899820485534231,,0.02045042724349543,0.47897323608496956,-0.12223912722371362,0.46500650800318527,3,
5BZQJ0001+1914,00 01 08.62,+19 14 34.18,3.1,BZQ,0.917,-0.117,0.029,0.276,-0.427,-1.314,0.079,-0.425,-0.205,,0.418,0.468,0.626,0.234,0.571,2.048,6572.092926112351,3581.2290629178947,26858.45352745383,47.14540501488976,0.004990166508772,0.999987549041594,0.3295724626620512,0.2838775372698202,0.3073589299053497,,,-13.3879784712127,-13.275518387973673,-13.238610878985195,-13.15443082787184,-13.019848048175508,-14.146236913344962,-13.5870356729481,-13.337790010090885,-13.41089284523019,-13.259181941995818,,,,-13.07264452194369,-13.055211197590284,,,-0.12665851701599,-1.0965745814799912,12.87437765471329,-26.147305039303824,-30.85840435876183,,,,,64.0416271149893,-13.430626090384957,,-13.09541968576146,,0.5515004272460935,0.3071004638671866,0.3637002563476557,0.4505998992919942,3.8967991638183577,1.0270004272460902,,,,,1.701000000000004,0.9189999999999968,0.027000000000001,0.5719999999999992,,,,,0.4076995849609339,0.8794994354248047,0.8994998931884766,0.5751991271972692,,-0.335206404623495,0.1833996813949134,,,1.3988606478320975,-1.3779939714595755,-1.9191235023494357,0.05446715862658939,1,
5BZBJ0001-0746,00 01 18.0,-07 46 26.68,,BLLac,0.553,,-0.029,-0.159,-0.484,-0.895,0.19,-0.202,-0.189,,0.156,0.116,0.197,,0.273,,,,,,0.0056722896510109,0.9999839124356528,-0.1352673163697008,0.2219174405252051,0.2384380567104724,-11.961797120050829,-11.886006940828963,-11.640778404074029,-11.617278135288124,-11.608891256182464,-11.606670622793716,-11.64936782966965,-12.01623691334496,-11.9374356729481,-11.884990010090885,-11.82009284523019,-11.795181941995818,-11.856757705674072,-11.835510381242656,-11.825836418440764,-11.638644125215174,-11.652011048054147,-11.75066431543812,-11.734979454334528,0.1382822535869129,-0.0166390089471776,,,,,-12.455931955649724,,-10.397348685188152,,-13.535808629359,,-13.09541968576146,1.407056544436987,0.3291008911132813,0.2357988891601579,0.1588017120361335,0.0073999328613254,4.055599609375001,0.9499998092651404,2.588999748229977,2.188000202178955,0.6330386161852672,0.1407572432895278,0.5,0.4269999999999996,0.3719999999999963,0.2550000000000025,0.646599853515621,0.8559993667602601,0.7739998779296897,1.7790005111694305,0.0585002899169921,0.4235992431640625,0.321298599243164,0.5965995788574219,0.1566009521484375,-0.4403889435975401,-0.0431197918716836,0.233995892774816,0.8039209075955771,-0.9363773401299547,0.2046691217360791,1.0413475835499746,-0.0335114599518707,2,
5BZBJ0001-0011,00 01 21.48,-00 11 39.91,0.462,BLLac,0.706,,-0.56,-0.501,-0.592,-0.707,,,,,,-0.163,0.0,-0.094,,8.824,1814.2810552069095,1503.541415924789,2651.8247023319186,42.1177240592101,0.0059253581368815,0.9999824449113844,-0.0033932529236741,0.23792089048048,0.2553926721437697,-12.758931220068716,-12.712342974655645,-12.645858042745902,-12.584398160922888,-12.543170772784029,-12.48311115624098,-12.447248487628634,-12.713036913344965,-12.6570356729481,-12.574190010090884,-12.49689284523019,-12.47998194199582,,,,-12.54864435409701,-12.734810959553172,-12.924264321541637,,0.6482367133322042,-0.6525261078062793,14.065833419192558,-22.858224349127088,-27.140723822698867,,,,,58.82641835833997,-13.808548985535104,,-13.63311031034662,0.9601975323240026,0.4239999237060594,0.3179001617431574,0.3033991699218781,0.2037996215820285,3.775300682067872,0.5180006027221697,2.36199951171875,,0.5600337816632894,0.4645973278562252,0.4430000000000014,0.5030000000000001,0.4030000000000022,0.2349999999999994,,,,,0.1852989196777343,0.1780014038085973,0.2337989807128906,0.2688007354736363,0.5046005249023438,-0.1754386751884844,-0.1916401867691455,-0.0224679848975277,,-2.34569914246228,0.08505935225786673,-0.8471636495480886,-0.9149755100820697,0,
5BZGJ0001-1031,00 01 57.25,-10 31 17.29,0.252,BZG,0.393,,,,,,,,,,,,,,,10.675,1047.2004587819274,936.22844089597,1310.987237376413,40.5879923189997,0.0085265572965841,0.9999636482496091,-0.1826039505885087,0.3026999500721257,0.3228739620362386,-12.97529787623206,,-12.479577848654104,-12.173557957065468,-12.10749112190512,-12.107911137930436,-12.059487873614962,-12.548236913344962,-12.1802356729481,-11.853390010090884,-11.74089284523019,-11.69798194199582,-11.869957852158445,-11.874310475847148,-11.975836522200533,-12.20504427169955,-12.45561097786372,,,1.8204449577703703,-1.2860665632511776,14.386710113569208,-22.41769173611396,-26.469992288482125,,,,,,-14.241088107602026,,,,1.0353999481201122,0.3799987792968728,0.152200088500976,0.2352011108398457,3.664899353027343,0.3570003509521502,,,,,1.2230000000000023,1.1129999999999995,0.4909999999999996,0.2999999999999971,1.638899597167974,0.7919994964599582,0.4959998550415001,0.7380004043579103,0.3810997009277308,0.2478008270263707,0.3268013000488281,0.4036998748779297,0.2740001678466797,,-0.3481198559585987,,,,-0.2238802237036662,-0.05617344125689279,-0.45469134249270493,0,
5BZBJ0002-0024,00 02 57.16,-00 24 47.08,0.523,BLLac,0.757,,-1.228,-1.162,-0.079,1.287,,,,,,0.579,0.355,0.404,,8.375,2019.6687592841288,1641.1911331156325,3075.015402360565,42.43923647721319,0.0128830823594721,0.9999170096507604,-0.0072095048328922,0.2554391172827846,0.2716670327537637,-13.226091569347794,-12.987616350411647,-12.84749802687676,-12.644438328159218,-12.509330697100433,-12.432550719229262,-12.382208222736056,-12.937436913344962,-12.8018356729481,-12.614990010090883,-12.42689284523019,-12.366381941995815,-12.199957730088132,-12.115110466691876,-12.238236253645844,-12.313444235078457,-12.43681100532954,-12.561064324593396,,0.4269784934353328,-1.550202355500162,14.492207431477327,-23.264336956339168,-28.050236538248356,,,,,59.52002291498869,-13.603451962012867,,-13.359518563029578,1.1442810113868624,0.7779994659423792,0.552600769042968,0.3452000732421858,0.2399991912841841,4.200700317382815,0.6750001907348597,2.52499961853027,,1.0397512154709825,0.591780767246231,0.642000000000003,0.7629999999999981,0.6799999999999997,0.3440000000000047,1.620700775146485,1.0149992141723594,0.44200050354004,1.12299982452393,1.0237007141113352,0.8281002044677734,0.2569999694824219,0.1779994964599609,0.4566993713378871,-0.2439333989832892,0.0725196917708927,0.5508053450821073,,0.8808330028633629,-0.6818511462096687,-0.7022019443526557,-0.41099050627537614,1,
5BZQJ0003+2129,00 03 19.33,+21 29 44.59,0.45,BZQ,0.767,0.371,0.475,-0.295,-0.771,-1.372,-0.852,-1.04,-0.807,0.186,-0.066,0.268,0.224,0.133,0.258,8.917,1772.9761605143433,1475.1723678898445,2570.2099136273423,42.04984297192331,0.0144951790128065,0.9998949393738258,0.3664317144020426,0.3259606620830005,0.348650865926788,-13.652275191427709,-13.356898337142438,-13.134458244161918,-12.855198130405311,-12.725370595782072,-12.747511174551526,-12.570207819904022,-13.11703691334496,-13.1110356729481,-12.740590010090884,-12.61569284523019,-12.590781941995818,-12.38515799864282,-12.194310494157696,-12.09823620481772,-11.827844335786462,-11.6856112830395,-11.727864251351209,-11.683779541309624,-0.1118314098577987,-1.674777758999228,13.25150595345428,-22.334843704345182,-28.87484278118845,,,,,60.49490938627645,-13.934793871945688,,-12.911686684411904,1.3500854350009457,0.9685005035400388,0.5394005279541005,0.0978986816406255,0.5574013366699297,5.884699058532711,1.3389997482299805,2.730000495910641,2.2589998245239267,1.1820053038437877,1.0659857340732088,0.3180000000000014,1.2220000000000013,0.5219999999999985,0.254999999999999,1.627699096679681,1.2799998168945308,0.9900006942748972,1.9869994506836013,0.2397994995117187,0.4465999603271484,0.2123985290527343,0.3083992004394531,0.5320987701416016,-1.0231071875337854,1.0397593127425733,1.6712870541029383,,-0.4165878168435166,-0.29041714758931286,-0.59697392633429,-0.14398851695304074,1,
5BZBJ0004-1148,00 04 04.87,-11 48 57.99,,BLLac,0.797,0.29,0.288,-0.237,-0.156,-0.055,-0.104,-0.087,-0.134,,0.228,0.086,0.145,,0.064,,,,,,0.0178065077896981,0.9998414515713656,-0.2047712459146798,0.2314175477651607,0.2462289536869449,-13.202166717154844,-12.650440462038375,-12.604498124533013,-12.485078055942422,-12.4697308802059,-12.393950676504652,-12.43248833748215,,,,,,-11.997158181748286,-11.839910253068828,-11.921436165144868,-12.261044409028653,-12.238011109089303,-12.225064263558238,-12.336579529102591,0.0788943688460968,-0.6108049745209425,,,,,,,,,-13.1920592787845,-11.356113246034496,-12.432326793385444,0.9088410463130572,0.5689003906250001,0.2531996307373063,0.34270063781738,0.0177987976074227,4.45740016937256,1.041000366210941,2.868000030517569,1.8699998855590856,1.822878805921782,,,,,,2.2533999328613312,1.196000877380369,0.5460001907348602,0.4619991683959998,0.6873989105224574,0.9923992156982386,0.956298828125,0.7863006591796875,0.7074012756347656,-0.7597324853990557,0.2317197711165963,0.4124293529490721,,-1.1830677396894886,-1.7418156540117302,-0.4824116168035761,1.0597201854263913,1,
5BZQJ0004+4615,00 04 16.17,+46 15 18.21,1.81,BZQ,0.735,,-0.059,0.206,0.127,0.028,0.003,0.012,0.073,,0.105,0.199,0.009,,,3.575,4999.644494908228,3112.870496185718,14022.700681989996,45.73415832005502,0.0186281305858162,0.9998264813210728,0.7224250091782629,0.6337483653591841,0.6814060445771322,,,-12.757578440695124,-12.80527817190922,-12.723571126787933,-12.827751048819104,-12.804488129962618,,,,,,,,,-12.796644308320642,-12.7236110083813,-12.759864220833627,,-0.0327511142855333,0.1410026402253091,12.814018753288067,-26.02365772496225,-30.13715819798471,,,,,62.54932360717072,-13.774690718274137,,-13.024453313965427,,0.1511008911132876,0.4190993041992179,-0.1071996765136695,0.172300247192382,4.048399902343752,1.1660003662109304,2.744999885559091,,,,,,,,,,,,0.1571006774902379,0.5747013092041016,0.5945987701416051,0.4281997680664062,0.3728008270263672,-0.7502374043087094,-3.988159336643093e-05,,,-1.2785303637254426,-0.5759400741603082,-1.1691555079251428,-0.14709201484316733,3,
