BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Rmag,Class,Flux_density1.4,Flux_density143,X-ray_flux,Fermi_flux,Rad_opt_sp_index,Flux_density4.8,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,u,g,r,i,z,extinction_r,PSTARRS_offset,gMeanPSFMag,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,rMeanPSFMag,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,iMeanPSFMag,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,zMeanPSFMag,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,yMeanPSFMag,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,GALEX_offset,fuv_mag,nuv_mag,e_bv,w1,w2,w3,w4,J,H,K,WISE_offset,ext_U,ext_B,ext_V,ext_R,ext_I,ext_J,ext_H,ext_K,ext_SDSS_u,ext_SDSS_g,ext_SDSS_r,ext_SDSS_i,ext_SDSS_z,ext_PS1_g,ext_PS1_r,ext_PS1_i,ext_PS1_z,ext_PS1_y
5BZQJ0000-3221,00 00 20.39,-32 21 01.0,1.275,18.2,7211,521.0,,0.05,,0.707,461.0,,0.056,-0.763,,,,-0.967,-0.903,,0.652,0.256,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09642185798127126,,19.0061588,0.009959874,14.8120002746582,13.45800018310547,10.19799995422363,7.730999946594238,,,,0.298005436204978,0.044,0.037,0.028,0.022,0.015,0.007,0.005,0.003,0.043,0.033,0.023,0.017,0.013,0.032,0.023,0.017,0.013,0.011
5BZQJ0001-1551,00 01 05.29,-15 51 06.98,2.044,18.1,7211,348.0,,,,0.661,305.0,,-0.281,-0.599,-0.788,-1.028,0.366,-0.138,-0.282,,0.499,0.303,0.333,,0.387,,,,,,,0.5704126010683033,18.40900039672852,12.0,18.143400192260746,18.67230033874512,18.375900268554688,12.0,18.32150077819824,18.46579933166504,18.265300750732425,8.0,18.230899810791016,18.316999435424805,18.062000274658203,11.0,17.96929931640625,18.155000686645508,18.28190040588379,19.0,18.04330062866211,18.3843994140625,0.1644258143260569,,20.2426033,0.028843306,15.11999988555908,13.9379997253418,10.51099967956543,8.371000289916992,,,,0.2339353791145803,0.125,0.105,0.079,0.063,0.044,0.021,0.013,0.009,0.123,0.096,0.066,0.049,0.037,0.092,0.066,0.049,0.038,0.031
5BZQJ0001+1914,00 01 08.62,+19 14 34.18,3.1,21.6,7211,265.0,,,,0.917,169.0,-0.117,0.029,0.276,-0.427,-1.314,0.079,-0.425,-0.205,,0.418,0.468,0.626,0.234,0.571,24.296,22.516,21.555,21.503,20.893,0.09,0.377418696722275,21.98870086669922,5.0,21.793500900268555,22.20120048522949,21.399200439453125,13.0,21.086299896240234,21.96579933166504,21.068099975585938,7.0,20.775400161743164,21.67490005493164,20.68939971923828,5.0,20.50180053710937,21.07699966430664,20.22879981994629,1.0,20.22879981994629,20.22879981994629,,,,,16.28700065612793,15.26000022888184,,,,,,0.3536221938642206,0.18,0.15,0.114,0.09,0.062,0.029,0.019,0.013,0.176,0.137,0.095,0.07,0.052,0.132,0.094,0.07,0.055,0.045
5BZBJ0001-0746,00 01 18.0,-07 46 26.68,,17.9,7300,208.0,,0.35,5e-10,0.553,169.0,,-0.029,-0.159,-0.484,-0.895,0.19,-0.202,-0.189,,0.156,0.116,0.197,,0.273,18.929,18.36,17.9,17.51,17.221,0.07,0.4400440543004096,17.58970069885254,5.0,17.560699462890625,17.619199752807617,17.231599807739258,11.0,17.220399856567383,17.643999099731445,16.9768009185791,7.0,16.939300537109375,17.26059913635254,16.80699920654297,8.0,16.581199645996094,17.177799224853516,16.79159927368164,6.0,16.78059959411621,16.93720054626465,0.6426677241533305,19.7507133,19.1341953,0.03135376,12.70199966430664,11.7519998550415,9.163000106811523,6.974999904632568,16.13299942016602,15.26900005340576,14.49100017547607,0.331405815277537,0.138,0.115,0.087,0.069,0.048,0.022,0.014,0.01,0.134,0.105,0.072,0.054,0.04,0.101,0.072,0.053,0.042,0.034
5BZBJ0001-0011,00 01 21.48,-00 11 39.91,0.462,19.6,7300,111.0,,,,0.706,49.0,,-0.56,-0.501,-0.592,-0.707,,,,,,-0.163,0.0,-0.094,,20.681,20.166,19.629,19.206,18.936,0.08,0.4438999683454692,20.109399795532227,9.0,20.07040023803711,20.255699157714844,19.65439987182617,16.0,19.59569931030273,19.773700714111328,19.316499710083008,12.0,19.20800018310547,19.44179916381836,19.001100540161133,10.0,18.90819931030273,19.177000045776367,18.7893009185791,14.0,18.55489921569824,19.059499740600582,0.8019581499934748,21.759552,21.21699,0.03394098,14.97700023651123,14.45899963378906,12.09700012207031,,,,,0.3603859486717472,0.147,0.123,0.093,0.074,0.051,0.024,0.015,0.01,0.144,0.112,0.078,0.058,0.043,0.108,0.077,0.057,0.045,0.037
5BZGJ0001-1031,00 01 57.25,-10 31 17.29,0.252,17.8,7309,41.0,,,,0.393,,,,,,,,,,,,,,,,20.305,19.002,17.846,17.33,16.992,0.1,0.1637126255063005,19.72069931030273,7.0,19.51799964904785,19.899099349975582,18.646299362182617,17.0,18.53499984741211,18.78280067443848,18.241300582885746,10.0,18.11549949645996,18.44230079650879,18.07410049438477,14.0,17.892099380493164,18.295799255371094,17.828899383544922,8.0,17.70210075378418,17.97610092163086,0.2877887007278695,22.3652477,,0.0431524366,14.11800003051758,13.76099967956543,,,16.17399978637695,15.37100028991699,14.86900043487549,0.2634924241816553,0.184,0.154,0.116,0.092,0.064,0.03,0.019,0.013,0.18,0.14,0.097,0.072,0.054,0.135,0.096,0.071,0.056,0.046
5BZBJ0002-0024,00 02 57.16,-00 24 47.08,0.523,19.7,7300,178.0,,,,0.757,92.0,,-1.228,-1.162,-0.079,1.287,,,,,,0.579,0.355,0.404,,21.248,20.533,19.734,19.033,18.654,0.08,0.3019896945142752,20.61849975585937,10.0,20.322099685668945,21.345800399780277,19.808500289916992,24.0,19.623199462890625,20.4512996673584,19.234899520874023,12.0,19.02790069580078,19.284900665283203,18.87669944763184,6.0,18.819299697875977,18.997299194335938,18.628700256347656,13.0,18.477399826049805,18.93409919738769,0.385246088032264,22.9449711,21.9214478,0.03532334,14.38899993896484,13.71399974822998,11.18900012969971,,16.99399948120117,15.97000026702881,15.52299976348877,0.3109233217371744,0.154,0.129,0.097,0.077,0.053,0.025,0.016,0.011,0.15,0.117,0.081,0.06,0.045,0.113,0.081,0.06,0.047,0.039
5BZQJ0003+2129,00 03 19.33,+21 29 44.59,0.45,20.1,7211,83.0,,,,0.767,258.0,0.371,0.475,-0.295,-0.771,-1.372,-0.852,-1.04,-0.807,0.186,-0.066,0.268,0.224,0.133,0.258,21.742,21.341,20.072,19.523,19.228,0.11,0.3020919776566639,21.368900299072266,9.0,21.22330093383789,21.46310043334961,20.359399795532227,15.0,20.059999465942383,20.50659942626953,19.792999267578125,14.0,19.72260093688965,19.934999465942383,19.6781005859375,9.0,19.48780059814453,19.796199798583984,19.109699249267575,13.0,18.79840087890625,19.33049964904785,2.100883797458272,24.0809517,22.9216366,0.0466967076,13.17500019073486,11.83600044250488,9.105999946594238,6.847000122070312,17.46500015258789,16.17300033569336,15.17599964141846,0.329988518585649,0.2,0.167,0.126,0.1,0.069,0.033,0.021,0.014,0.195,0.152,0.105,0.078,0.058,0.146,0.105,0.078,0.061,0.05
5BZBJ0004-1148,00 04 04.87,-11 48 57.99,,18.8,7300,459.0,308.0,,,0.797,778.0,0.29,0.288,-0.237,-0.156,-0.055,-0.104,-0.087,-0.134,,0.228,0.086,0.145,,0.064,,,,,,,0.7733627195517632,20.0,10.0,19.64150047302246,20.32889938354492,19.402099609375,13.0,19.10099983215332,20.09339904785156,19.12989997863769,16.0,18.6648006439209,19.6210994720459,18.776199340820312,13.0,18.43239974975586,19.218700408935547,18.75040054321289,12.0,18.257999420166016,18.96540069580078,1.04624882542823,22.8611374,21.05307,0.03156759,14.25800037384033,13.21700000762939,10.34899997711182,8.479000091552734,16.48500061035156,15.27999973297119,14.72999954223633,0.72996024658732,0.14,0.117,0.088,0.07,0.049,0.023,0.014,0.01,0.137,0.107,0.074,0.055,0.041,0.102,0.073,0.054,0.043,0.035
5BZQJ0004+4615,00 04 16.17,+46 15 18.21,1.81,20.4,7211,120.0,,,,0.735,199.0,,-0.059,0.206,0.127,0.028,0.003,0.012,0.073,,0.105,0.199,0.009,,,,,,,,,0.4919046304734356,20.568700790405277,6.0,20.479799270629883,20.63689994812012,20.335599899291992,12.0,19.933399200439453,20.508100509643555,19.863500595092773,16.0,19.621700286865234,20.21629905700684,19.937700271606445,12.0,19.701499938964844,20.12969970703125,19.744400024414062,9.0,19.663799285888672,20.03660011291504,,,,,15.59700012207031,14.43099975585938,11.68599987030029,,,,,0.5626656172208334,0.393,0.329,0.249,0.197,0.136,0.064,0.041,0.027,0.384,0.3,0.207,0.154,0.115,0.288,0.206,0.153,0.12,0.099
